pathway_id,institution_id,scenario_id,pathway_name,time_step,signal_detection,scenario_capability,learning_capacity,governance_integration,adaptive_flexibility,participatory_legitimacy,ethical_accountability,data_infrastructure,foresight_capability_score,legitimacy_score
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,42,1.2405,1.3476,1.3438,1.3883,1.5339,1.1567,1.3538,1.2962,1.3354,1.2836
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,43,1.2537,1.3657,1.363,1.4116,1.5629,1.1719,1.3747,1.316,1.355,1.3028
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,44,1.267,1.384,1.3826,1.4352,1.5923,1.1874,1.396,1.336,1.3749,1.3223
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,45,1.2806,1.4026,1.4024,1.4591,1.6222,1.2031,1.4176,1.3564,1.3951,1.3422
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,46,1.2943,1.4213,1.4225,1.4834,1.6525,1.2191,1.4395,1.3769,1.4156,1.3623
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,47,1.3083,1.4403,1.4429,1.508,1.6832,1.2354,1.4617,1.3977,1.4364,1.3827
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,48,1.3344,1.4737,1.4778,1.533,1.7146,1.2659,1.4844,1.419,1.4651,1.4092
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,49,1.3488,1.4933,1.4989,1.5585,1.7465,1.2826,1.5075,1.4406,1.4866,1.4303
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,50,1.3634,1.5132,1.5203,1.5844,1.7787,1.2997,1.5308,1.4624,1.5084,1.4517
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,1,0.64,0.6,0.68,0.44,0.62,0.84,0.82,0.46,0.6324,0.733
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,2,0.6455,0.6092,0.6875,0.454,0.6323,0.8468,0.8306,0.4697,0.6418,0.7429
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,3,0.651,0.6186,0.6952,0.4681,0.6449,0.8538,0.8413,0.4794,0.6512,0.753
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,4,0.6567,0.628,0.703,0.4823,0.6577,0.8609,0.8521,0.4893,0.6609,0.7632
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,5,0.6625,0.6375,0.711,0.4967,0.6706,0.8681,0.8632,0.4993,0.6706,0.7735
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,6,0.6803,0.6472,0.7192,0.5113,0.6839,0.8755,0.8744,0.5095,0.6825,0.784
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,7,0.6862,0.657,0.7275,0.526,0.6973,0.883,0.8857,0.5199,0.6925,0.7947
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,8,0.6923,0.6669,0.736,0.5409,0.711,0.8907,0.8973,0.5303,0.7028,0.8055
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,9,0.6984,0.6769,0.7446,0.5559,0.7249,0.8985,0.909,0.5408,0.7131,0.8165
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,10,0.7046,0.687,0.7534,0.5711,0.7389,0.9065,0.9208,0.5515,0.7236,0.8276
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,11,0.7109,0.6973,0.7624,0.5864,0.7533,0.9146,0.9328,0.5623,0.7343,0.839
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,12,0.7293,0.7217,0.7857,0.6021,0.7682,0.9369,0.9452,0.5734,0.7527,0.8561
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,13,0.7359,0.7323,0.7952,0.618,0.7832,0.9453,0.9578,0.5847,0.7638,0.8679
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,14,0.7426,0.743,0.8048,0.6341,0.7986,0.9539,0.9705,0.5961,0.7751,0.8798
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,15,0.7494,0.7538,0.8147,0.6504,0.8142,0.9627,0.9835,0.6076,0.7865,0.8919
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,16,0.7563,0.7647,0.8247,0.6668,0.83,0.9716,0.9966,0.6193,0.7981,0.9042
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,17,0.7633,0.7757,0.8349,0.6735,0.8461,0.9806,1.0099,0.631,0.8085,0.9141
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,18,0.7824,0.787,0.8452,0.6903,0.8624,0.9898,1.0233,0.6431,0.8223,0.9267
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,19,0.7896,0.7984,0.8558,0.7074,0.879,0.9991,1.037,0.6552,0.8344,0.9395
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,20,0.7969,0.8099,0.8664,0.7246,0.8958,1.0087,1.0508,0.6675,0.8467,0.9524
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,21,0.8044,0.8215,0.8773,0.742,0.9129,1.0184,1.0649,0.6799,0.8591,0.9656
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,22,0.812,0.8333,0.8884,0.7597,0.9303,1.0283,1.0792,0.6925,0.8718,0.9789
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,23,0.8197,0.8452,0.8998,0.7775,0.948,1.0383,1.0936,0.7053,0.8846,0.9925
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,24,0.8395,0.8713,0.9254,0.7957,0.9662,1.0626,1.1085,0.7184,0.9052,1.0119
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,25,0.8476,0.8836,0.9372,0.8142,0.9847,1.073,1.1236,0.7316,0.9185,1.026
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,26,0.8557,0.8961,0.9493,0.8329,1.0035,1.0836,1.1389,0.745,0.9321,1.0403
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,27,0.864,0.9087,0.9616,0.8518,1.0226,1.0944,1.1544,0.7586,0.9458,1.0548
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,28,0.8724,0.9215,0.974,0.871,1.0421,1.1054,1.1701,0.7724,0.9597,1.0695
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,29,0.8809,0.9343,0.9867,0.8904,1.0618,1.1166,1.1861,0.7863,0.9738,1.0844
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,30,0.9015,0.9475,0.9996,0.9099,1.0818,1.128,1.2023,0.8004,0.99,1.0995
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,31,0.9103,0.9608,1.0127,0.9298,1.1021,1.1396,1.2188,0.8147,1.0046,1.1149
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,32,0.9192,0.9742,1.0261,0.9499,1.1228,1.1514,1.2355,0.8292,1.0194,1.1305
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,33,0.9283,0.9878,1.0397,0.9703,1.1439,1.1634,1.2524,0.8439,1.0343,1.1463
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,34,0.9375,1.0014,1.0536,0.9809,1.1652,1.1755,1.2696,0.8587,1.0481,1.1598
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,35,0.9469,1.0153,1.0676,1.0018,1.1868,1.1878,1.287,0.8737,1.0635,1.176
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,36,0.9684,1.0435,1.0959,1.023,1.209,1.2144,1.3048,0.8891,1.0867,1.1982
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,37,0.9781,1.0579,1.1105,1.0446,1.2316,1.2272,1.3229,0.9047,1.1027,1.215
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,38,0.988,1.0725,1.1254,1.0665,1.2545,1.2402,1.3412,0.9205,1.1189,1.2321
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,39,0.998,1.0872,1.1405,1.0886,1.2777,1.2535,1.3598,0.9365,1.1353,1.2495
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,40,1.0082,1.1021,1.1557,1.1109,1.3013,1.2669,1.3787,0.9527,1.1519,1.267
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,41,1.0185,1.1172,1.1713,1.1336,1.3253,1.2806,1.3978,0.9691,1.1688,1.2849
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,42,1.041,1.1325,1.1872,1.1566,1.3497,1.2945,1.4173,0.9857,1.1879,1.303
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,43,1.0517,1.1481,1.2033,1.1799,1.3745,1.3087,1.437,1.0026,1.2053,1.3214
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,44,1.0625,1.1638,1.2197,1.2035,1.3996,1.3231,1.4571,1.0197,1.223,1.3401
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,45,1.0735,1.1797,1.2364,1.2274,1.4252,1.3378,1.4774,1.037,1.2409,1.359
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,46,1.0847,1.1958,1.2533,1.2515,1.4511,1.3527,1.4981,1.0545,1.2591,1.3783
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,47,1.096,1.2121,1.2705,1.276,1.4775,1.3678,1.519,1.0722,1.2776,1.3978
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,48,1.1195,1.2427,1.3021,1.301,1.5045,1.3972,1.5404,1.0903,1.3039,1.4233
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,49,1.1313,1.2595,1.32,1.3263,1.5319,1.4129,1.5621,1.1087,1.323,1.4435
ASP8,FCP8,FSS5,Civil Society Accountability Pathway,50,1.1431,1.2766,1.3381,1.3519,1.5596,1.4288,1.5841,1.1273,1.3424,1.4639
